Pet,Product,Price,Description
Dog,Henlo,1200,Healthiest Dog Food In India Baked To Perfection
Cat,Sheba,1360,Chicken Flavour Irresistible All Life Stage Cat Dry Food
Dog,Bone,1349,Extreme Goodie Bone Black Dog Chew Toy
Dog,Bunny,1349,KONG Whoopz Hedgehog Squeaky Plush Dog Toy.
Dog,Chewie,1390,"ONG Extreme Chew Toy ,Black (Large)"
Cat,Drools,1145,Adult Dry Cat Food Ocean Fish
Cat,Purepet,949,"Wet Cat Food - Real Chicken & Chicken Liver In Gravy, 70 g (Pack of 15)"
Dog,Pedigree,900,Affordable And Best Dog Food In India.
Dog,Canine Creek,1125,Best Nutrition Food For Your Dog.
Fish,Taiyo Turtle,225,Taiyo Turtl and Fish Food
Fish,Boltz,520,Boltz Freeze Dried Blood Worms Fish Food
Fish,Aini,135,Taiyo Aini Fast Red Fish Food
Cat,Skarts,319,The satisfying Wave Scratcher pad Toy for Cats
Cat,Trixe,277,Wind Up Mouse Toy for Cats
Cat,Cheerble,2374,Wicked Mouse Interactive Toy
Fish,Coldwater,2233,coldwater aquarium is a beginners aquarium for young children
Fish,Freshwater,9500,freshwater aquarium popular among hobbyists as they are easy to maintain
Fish,Saltwater,1200,"saltwater aquariums are unique, offer to keep a variety of species."
Dog,Royal Canin,1278,Small Breed Adult Dry Dog Food
Dog,Sara,680,Wholesome Grain-Free Dog Food 
Dog,Orijen,2999,Grain Free Dry Dog Food (All Breeds & Ages)
Dog,Chappi,464,Adult Dry Dog Food Chicken and Rice
Dog,JerHigh,700,Roasted Duck in Gravy Wet Food
Dog,Schesir,150,Tuna with Aloe Canned Wet Food
Cat,Royal Canin,352,Adult Dry Cat Food 
Cat,Sheba Fish,200,Sasami Adult Wet Food
Cat,Whiskas,206,Tuna Adult Dry Cat Food
Cat,Applaws,300,Tuna fillet Wet Cat Food
Cat,Kennel Kitchen,500,Fish Chunks Wet Cat Food
Cat,Farmina N&D ,600,Herring & Orange Grain Free Ocean Dry Cat Food
Dog,Plustopus,600, HUFT Plushtopus Squeaky Fur Toy For Dogs
Dog,Squeaky Toy,400, Dash Dog Squeak & Snack Chew Toy For Dog - Green
Dog,Dogwood,500,Extreme Chew Interactive Dog Toy
Dog,Bungee Toy,200,HUFT Swirly Strong Bungee Toy for Dog
Dog,Chew Champ,500,HUFT Chew Champ toy for Dogs
Dog,Trixie Dumbell,350,Dumbbell Vinyl Dog Squeaker Toy
Cat,Mouse,230,HUFT Meowspin Interactive (With Catnip Inside) Cat Toy
Cat,Trixie Mouse,320,Trixie Wind Up Mouse Cat Toy - 7 cm
Cat,Seahorse,400,HUFT Seahorse Plush Toy
Cat,Chase and Roll,350,HUFT Chase and Roll Interactive Cat Toy
Cat,Whisker Wand,270,HUFT Whisher Wand with Feathers
Fish,Taiyo Grow,500,Pellet Fish Food For All Life Stages
Fish,HIKARI,340,Tropical Algae Wafers for aquarium
Fish,Aquarium Air Pump,230,COLOURFUL aquarium Air Pump/MotorTube and Air Stone
Fish,Resin Village ,1200,JAINSONS PET PRODUCTS Resin Village On Hill Padmashri  aquarium Decorative Ornaments For Fish Tank Decoration All In One Ornament
Fish,Aquarium Coral Plastic Plant,450,"Shirlip Decorative Non Toxic Artificial  aquarium Coral Plastic Plant Ornaments for Fish Tank, Multicolor"
Fish,Shiny Glossy Glass Pebbles ,600,Power Stone Decorative Super Shiny Glossy Glass Pebbles Stone for Vase Fillers Plant Pots Home Garden & Outdoor Decoration for aquarium
Fish,Buddha Statue ,560,Mistletoe Natural Hiding Head Buddha Statue for aquarium Decoration
Fish,Plastic Plant,300,Foodie Puppies 6 in 1 Combo Artificial/Plastic Plant for Decoration of  aquarium
